States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"1,667","1,186",448,33
Kano,547,509,20,18
FCT,336,292,40,4
Borno,142,128,0,14
Katsina,137,120,9,8
Bauchi,117,110,6,1
Ogun,113,81,28,4
Gombe,110,100,10,0
Kaduna,95,79,14,2
Sokoto,93,80,4,9
Jigawa,83,82,0,1
Edo,67,51,12,4
Zamfara,65,62,0,3
Oyo,59,43,14,2
Osun,38,4,30,4
Nasarawa,25,24,0,1
Kwara,24,15,9,0
Rivers,21,15,4,2
Kebbi,18,18,0,0
Delta,17,11,3,3
Akwa Ibom,17,5,10,2
Adamawa,15,15,0,0
Taraba,15,15,0,0
Ondo,15,9,6,0
Plateau,15,14,1,0
Yobe,13,12,0,1
Ekiti,12,7,4,1
Enugu,10,8,2,0
Ebonyi,7,7,0,0
Niger,6,4,2,0
Bayelsa,5,5,0,0
Imo,3,2,1,0
Benue,2,2,0,0
Abia,2,1,1,0
Anambra,1,0,1,0
