States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"5,663","4,694",902,67
Kano,985,557,382,46
FCT,862,623,217,22
Katsina,385,168,198,19
Edo,364,249,96,19
Kaduna,335,128,197,10
Oyo,334,215,112,7
Ogun,329,133,186,10
Borno,322,111,185,26
Rivers,308,186,104,18
Jigawa,282,124,153,5
Bauchi,281,51,222,8
Gombe,184,50,127,7
Kwara,127,81,45,1
Delta,116,77,31,8
Sokoto,115,4,97,14
Plateau,113,27,84,2
Nasarawa,90,54,31,5
Ebonyi,80,72,8,0
Zamfara,76,0,71,5
Yobe,52,20,25,7
Osun,49,10,35,4
Imo,47,28,19,0
Akwa Ibom,45,29,14,2
Adamawa,42,11,27,4
Niger,41,23,17,1
Ondo,38,11,21,6
Kebbi,33,0,29,4
Bayelsa,30,19,8,3
Enugu,30,16,14,0
Ekiti,25,5,18,2
Taraba,18,8,10,0
Abia,15,8,7,0
Benue,13,12,1,0
Anambra,12,8,3,1
Kogi,3,3,0,0
