States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"10,910","9,147","1,631",132
FCT,"2,080","1,428",617,35
Oyo,"1,451",730,707,14
Edo,"1,266",623,596,47
Kano,"1,262",207,"1,003",52
Delta,"1,165",733,407,25
Rivers,"1,114",361,714,39
Ogun,927,295,612,20
Kaduna,835,253,570,12
Katsina,579,115,441,23
Bauchi,516,37,467,12
Borno,515,46,436,33
Gombe,513,121,373,19
Ebonyi,438,78,357,3
Plateau,402,171,219,12
Ondo,394,264,110,20
Abia,382,172,207,3
Enugu,357,133,215,9
Imo,352,296,50,6
Jigawa,318,1,308,9
Kwara,269,114,146,9
Bayelsa,234,92,127,15
Nasarawa,221,100,113,8
Sokoto,152,15,121,16
Osun,148,83,59,6
Niger,116,64,45,7
Akwa Ibom,104,48,54,2
Benue,97,66,30,1
Adamawa,89,36,47,6
Kebbi,81,16,58,7
Zamfara,76,0,71,5
Anambra,73,7,57,9
Yobe,61,5,48,8
Ekiti,43,1,40,2
Taraba,19,9,10,0
Kogi,5,0,3,2
