States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"8,177","6,664","1,405",108
FCT,"1,489",992,469,28
Kano,"1,182",425,707,50
Oyo,809,519,281,9
Edo,748,556,161,31
Rivers,739,408,304,27
Ogun,623,250,358,15
Kaduna,527,231,286,10
Borno,465,92,342,31
Gombe,451,218,220,13
Bauchi,447,114,322,11
Katsina,426,171,233,22
Delta,418,282,119,17
Jigawa,317,120,191,6
Ebonyi,234,97,137,0
Abia,221,125,93,3
Plateau,207,88,114,5
Imo,205,181,21,3
Nasarawa,181,97,78,6
Kwara,180,52,122,6
Sokoto,135,6,115,14
Ondo,128,70,42,16
Bayelsa,128,90,29,9
Enugu,126,93,28,5
Zamfara,76,0,71,5
Kebbi,67,27,34,6
Anambra,66,6,51,9
Niger,66,31,33,2
Akwa Ibom,65,23,40,2
Yobe,56,3,45,8
Osun,54,5,45,4
Adamawa,42,1,37,4
Benue,39,27,12,0
Ekiti,32,4,26,2
Taraba,18,8,10,0
Kogi,3,3,0,0
