States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"18,347","2,912","15,233",202
FCT,"5,301","3,622","1,612",67
Oyo,"3,194","1,198","1,959",37
Plateau,"2,720","1,000","1,690",30
Edo,"2,597",131,"2,366",100
Kaduna,"2,208",81,"2,095",32
Rivers,"2,175",76,"2,042",57
Delta,"1,768",117,"1,603",48
Kano,"1,727",69,"1,604",54
Ogun,"1,678",43,"1,609",26
Ondo,"1,561",131,"1,398",32
Enugu,"1,184",75,"1,088",21
Ebonyi,"1,020",17,974,29
Kwara,982,163,794,25
Katsina,813,332,457,24
Abia,807,87,712,8
Osun,795,26,752,17
Gombe,744,78,643,23
Borno,741,2,703,36
Bauchi,670,12,644,14
Imo,534,313,210,11
Benue,460,160,291,9
Nasarawa,438,128,298,12
Bayelsa,391,10,360,21
Jigawa,322,3,308,11
Ekiti,283,30,248,5
Akwa Ibom,280,34,238,8
Niger,244,16,216,12
Adamawa,228,33,180,15
Anambra,221,21,181,19
Sokoto,159,1,142,16
Kebbi,93,3,82,8
Taraba,87,9,73,5
Cross River,83,2,73,8
Zamfara,78,0,73,5
Yobe,67,0,59,8
Kogi,5,0,3,2
