States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"2,278","1,701",541,36
Kano,761,638,90,33
FCT,386,291,88,7
Katsina,239,198,29,12
Bauchi,210,166,41,3
Borno,204,140,44,20
Jigawa,191,184,4,3
Ogun,145,81,59,5
Kaduna,134,78,53,3
Gombe,124,32,90,2
Sokoto,112,46,53,13
Edo,93,61,27,5
Oyo,76,46,28,2
Zamfara,73,39,29,5
Kwara,58,45,12,1
Osun,42,8,30,4
Rivers,33,20,10,3
Yobe,32,28,3,1
Kebbi,31,16,11,4
Nasarawa,29,23,5,1
Delta,25,12,9,4
Plateau,21,17,4,0
Adamawa,21,10,11,0
Ekiti,19,5,13,1
Ondo,19,7,11,1
Taraba,17,16,1,0
Akwa Ibom,16,2,12,2
Niger,14,12,2,0
Enugu,12,10,2,0
Ebonyi,9,8,1,0
Imo,7,5,2,0
Bayelsa,6,3,3,0
Benue,4,4,0,0
Anambra,2,1,1,0
Abia,2,1,1,0
