States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"15,121","12,781","2,148",192
FCT,"3,803","2,639","1,122",42
Oyo,"2,760","1,447","1,286",27
Edo,"2,292",410,"1,800",82
Rivers,"1,791",301,"1,438",52
Kano,"1,597",286,"1,258",53
Delta,"1,510",108,"1,359",43
Kaduna,"1,457",269,"1,176",12
Ogun,"1,394",276,"1,095",23
Plateau,"1,188",650,519,19
Ondo,"1,155",583,548,24
Enugu,807,364,425,18
Ebonyi,785,165,596,24
Kwara,753,521,213,19
Katsina,742,262,457,23
Borno,613,9,569,35
Gombe,607,60,524,23
Bauchi,560,27,520,13
Abia,545,114,426,5
Osun,524,246,266,12
Imo,468,340,119,9
Benue,346,282,58,6
Bayelsa,328,28,279,21
Jigawa,322,3,308,11
Nasarawa,317,86,223,8
Niger,223,78,133,12
Akwa Ibom,221,93,121,7
Adamawa,163,69,85,9
Sokoto,154,1,137,16
Anambra,135,48,75,12
Ekiti,132,75,55,2
Kebbi,90,4,79,7
Zamfara,77,1,71,5
Yobe,67,5,54,8
Taraba,54,43,11,0
Cross River,45,33,9,3
Kogi,5,0,3,2
