States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"18,083","2,653","15,228",202
FCT,"5,108","3,548","1,510",50
Oyo,"3,100","1,111","1,952",37
Edo,"2,570",181,"2,289",100
Plateau,"2,374","1,084","1,261",29
Rivers,"2,128",129,"1,942",57
Kaduna,"2,100",172,"1,916",12
Delta,"1,730",143,"1,540",47
Kano,"1,725",144,"1,527",54
Ogun,"1,638",131,"1,481",26
Ondo,"1,534",143,"1,360",31
Enugu,"1,142",214,907,21
Ebonyi,971,13,931,27
Kwara,956,158,773,25
Katsina,789,308,457,24
Osun,775,37,722,16
Abia,763,87,669,7
Borno,740,37,667,36
Gombe,722,90,609,23
Bauchi,657,95,548,14
Imo,526,323,192,11
Benue,451,301,141,9
Nasarawa,431,121,298,12
Bayelsa,378,12,345,21
Jigawa,322,3,308,11
Akwa Ibom,278,41,229,8
Ekiti,251,64,183,4
Niger,241,15,214,12
Adamawa,217,43,159,15
Anambra,207,30,159,18
Sokoto,158,4,138,16
Kebbi,93,3,82,8
Taraba,87,9,73,5
Cross River,82,1,73,8
Zamfara,78,1,72,5
Yobe,67,0,59,8
Kogi,5,0,3,2
